"Default,""spolovi"",""zupanija"",""traj.rad.odn"",""izn.kre"",""udio.rate"",""br.cl"""
"1,""Z"",""16"",""13"",""45000"",""6"",""1"""
"1,""M"",""7"",""12"",""80000"",""11"",""1"""
"1,""Z"",""4"",""6.5"",""60000"",""24"",""1"""
"1,""Z"",""20"",""10"",""15000"",""23"",""2"""
"1,""Z"",""1"",""12"",""275000"",""14"",""3"""
"1,""Z"",""10"",""25"",""40000"",""16"",""1"""
"0,""Z"",""8"",""20.5"",""60000"",""13"",""0"""
"1,""Z"",""12"",""10.5"",""45000"",""28"",""1"""
"1,""Z"",""20"",""15"",""45000"",""23"",""1"""
"1,""M"",""1"",""23"",""10000"",""16"",""1"""
"1,""M"",""15"",""11"",""75000"",""17"",""2"""
"1,""Z"",""13"",""16"",""25000"",""20"",""4"""
"0,""M"",""6"",""7.5"",""75000"",""27"",""0"""
"0,""Z"",""4"",""15"",""60000"",""10"",""0"""
"1,""M"",""9"",""10.5"",""20000"",""20"",""3"""
"0,""Z"",""1"",""8.5"",""105000"",""17"",""0"""
"1,""M"",""10"",""14"",""5000"",""27"",""3"""
"1,""M"",""10"",""7"",""80000"",""4"",""1"""
"0,""Z"",""8"",""25"",""75000"",""19"",""0"""
"1,""Z"",""9"",""4"",""45000"",""22"",""1"""
"0,""M"",""7"",""11"",""85000"",""17"",""0"""
"1,""Z"",""8"",""19.5"",""125000"",""19"",""1"""
"1,""Z"",""14"",""27"",""30000"",""18"",""1"""
"1,""M"",""18"",""1.5"",""1e+05"",""17"",""1"""
"1,""M"",""11"",""14.5"",""1e+05"",""24"",""1"""
"1,""M"",""11"",""12.5"",""35000"",""8"",""0"""
"1,""Z"",""1"",""14"",""60000"",""34"",""4"""
"0,""M"",""5"",""5"",""225000"",""15"",""0"""
"0,""Z"",""9"",""11.5"",""125000"",""11"",""0"""
"1,""Z"",""1"",""12"",""230000"",""13"",""2"""
"1,""M"",""1"",""9.5"",""60000"",""30"",""1"""
"0,""Z"",""12"",""24"",""150000"",""18"",""0"""
"1,""M"",""21"",""24"",""125000"",""22"",""2"""
"1,""M"",""8"",""11.5"",""25000"",""24"",""2"""
"1,""Z"",""16"",""23"",""80000"",""33"",""5"""
"1,""Z"",""4"",""5"",""115000"",""22"",""2"""
"1,""M"",""21"",""24"",""25000"",""22"",""1"""
"0,""M"",""9"",""13.5"",""35000"",""14"",""0"""
"1,""Z"",""16"",""25"",""30000"",""7"",""2"""
"1,""Z"",""5"",""22.5"",""1e+05"",""21"",""3"""
"1,""M"",""10"",""6"",""65000"",""27"",""1"""
"0,""Z"",""9"",""16.5"",""60000"",""14"",""0"""
"1,""M"",""2"",""4.5"",""245000"",""20"",""3"""
"1,""M"",""9"",""4"",""145000"",""20"",""1"""
"1,""Z"",""17"",""14"",""120000"",""29"",""3"""
"0,""M"",""2"",""3.5"",""125000"",""14"",""0"""
"1,""Z"",""12"",""7"",""80000"",""31"",""3"""
"1,""Z"",""19"",""7"",""85000"",""24"",""1"""
"1,""M"",""16"",""16.5"",""15000"",""16"",""2"""
"1,""M"",""5"",""17.5"",""120000"",""28"",""1"""
"0,""Z"",""3"",""3.5"",""120000"",""22"",""0"""
"1,""M"",""11"",""24"",""1e+05"",""9"",""3"""
"1,""Z"",""6"",""25"",""40000"",""15"",""1"""
"1,""M"",""6"",""23"",""20000"",""26"",""3"""
"1,""M"",""14"",""5.5"",""65000"",""14"",""1"""
"0,""M"",""21"",""27"",""125000"",""20"",""0"""
"1,""M"",""16"",""11"",""40000"",""23"",""1"""
"1,""M"",""11"",""6"",""40000"",""7"",""1"""
"0,""M"",""20"",""13.5"",""35000"",""29"",""0"""
"1,""Z"",""12"",""14"",""75000"",""21"",""1"""
"1,""Z"",""12"",""8"",""80000"",""34"",""2"""
"1,""M"",""17"",""18.5"",""65000"",""10"",""2"""
"1,""Z"",""12"",""13"",""60000"",""9"",""1"""
"1,""M"",""12"",""24"",""35000"",""29"",""2"""
"0,""M"",""2"",""11.5"",""15000"",""13"",""0"""
"1,""Z"",""2"",""11.5"",""40000"",""34"",""4"""
"0,""M"",""13"",""5.5"",""190000"",""22"",""0"""
"1,""Z"",""1"",""23"",""60000"",""22"",""1"""
"1,""M"",""10"",""7.5"",""105000"",""31"",""2"""
"0,""M"",""13"",""3.5"",""35000"",""13"",""0"""
"1,""M"",""21"",""24"",""150000"",""31"",""3"""
"1,""Z"",""18"",""12.5"",""60000"",""22"",""1"""
"1,""Z"",""18"",""11.5"",""60000"",""10"",""2"""
"0,""M"",""11"",""4.5"",""125000"",""15"",""0"""
"0,""Z"",""2"",""12.5"",""1e+05"",""28"",""0"""
"0,""Z"",""7"",""22"",""120000"",""27"",""0"""
"1,""Z"",""14"",""9.5"",""35000"",""26"",""2"""
"0,""Z"",""2"",""8"",""150000"",""5"",""0"""
"1,""M"",""3"",""21"",""10000"",""12"",""4"""
"1,""M"",""9"",""5.5"",""35000"",""19"",""3"""
"1,""Z"",""4"",""25"",""65000"",""29"",""2"""
"1,""Z"",""21"",""6.5"",""255000"",""25"",""4"""
"1,""Z"",""11"",""25.5"",""25000"",""28"",""2"""
"1,""Z"",""21"",""17.5"",""30000"",""18"",""1"""
"1,""M"",""19"",""10.5"",""85000"",""12"",""1"""
"1,""M"",""6"",""18"",""35000"",""30"",""1"""
"1,""Z"",""19"",""12.5"",""1e+05"",""12"",""1"""
"1,""M"",""3"",""16"",""45000"",""19"",""1"""
"1,""Z"",""16"",""12"",""15000"",""34"",""1"""
"1,""M"",""18"",""9.5"",""40000"",""36"",""5"""
"0,""M"",""7"",""4"",""80000"",""9"",""0"""
"1,""Z"",""10"",""2.5"",""25000"",""16"",""2"""
"0,""Z"",""8"",""6.5"",""30000"",""18"",""0"""
"1,""Z"",""11"",""1.5"",""35000"",""19"",""2"""
"1,""M"",""11"",""7"",""60000"",""30"",""3"""
"1,""M"",""1"",""17"",""80000"",""36"",""4"""
"1,""M"",""1"",""7"",""25000"",""20"",""1"""
"0,""M"",""17"",""9"",""45000"",""27"",""0"""
"1,""Z"",""8"",""15"",""75000"",""13"",""1"""
"1,""Z"",""21"",""11"",""25000"",""20"",""3"""
"1,""M"",""20"",""3"",""230000"",""25"",""1"""
"0,""Z"",""9"",""27"",""120000"",""22"",""0"""
"1,""Z"",""13"",""8.5"",""70000"",""28"",""5"""
"1,""Z"",""21"",""5.5"",""60000"",""23"",""1"""
"1,""M"",""11"",""11.5"",""45000"",""35"",""4"""
"0,""M"",""10"",""3"",""30000"",""15"",""0"""
"1,""M"",""7"",""10.5"",""40000"",""19"",""1"""
"1,""Z"",""1"",""4.5"",""35000"",""37"",""5"""
"1,""Z"",""4"",""16.5"",""60000"",""25"",""1"""
"1,""M"",""21"",""20"",""150000"",""25"",""3"""
"1,""M"",""14"",""11"",""35000"",""26"",""1"""
"1,""M"",""6"",""13.5"",""10000"",""30"",""1"""
"1,""Z"",""20"",""18"",""45000"",""12"",""1"""
"0,""Z"",""19"",""10.5"",""125000"",""13"",""0"""
"1,""M"",""19"",""9.5"",""125000"",""21"",""1"""
"0,""M"",""9"",""11"",""20000"",""17"",""0"""
"1,""M"",""1"",""8.5"",""15000"",""16"",""3"""
"1,""Z"",""1"",""18"",""105000"",""16"",""1"""
"1,""Z"",""17"",""24"",""60000"",""32"",""3"""
"1,""M"",""6"",""11"",""80000"",""23"",""4"""
"0,""Z"",""17"",""10"",""75000"",""17"",""0"""
"1,""M"",""10"",""14.5"",""60000"",""25"",""3"""
"1,""M"",""8"",""25"",""55000"",""14"",""2"""
"1,""M"",""20"",""4.5"",""10000"",""38"",""4"""
"1,""M"",""18"",""12"",""225000"",""21"",""1"""
"1,""M"",""17"",""27"",""125000"",""13"",""3"""
"1,""Z"",""1"",""15"",""120000"",""23"",""2"""
"0,""M"",""14"",""5"",""60000"",""16"",""0"""
"1,""M"",""17"",""4.5"",""80000"",""22"",""2"""
"0,""Z"",""19"",""7"",""15000"",""14"",""0"""
"1,""M"",""15"",""7"",""25000"",""18"",""2"""
"0,""M"",""16"",""23"",""120000"",""11"",""0"""
"0,""M"",""16"",""10.5"",""20000"",""11"",""0"""
"1,""Z"",""18"",""16.5"",""45000"",""33"",""1"""
"1,""Z"",""13"",""23"",""40000"",""11"",""2"""
"1,""Z"",""21"",""9"",""80000"",""18"",""2"""
"1,""Z"",""19"",""5.5"",""125000"",""28"",""1"""
"1,""Z"",""7"",""7.5"",""75000"",""6"",""1"""
"1,""Z"",""11"",""9"",""80000"",""10"",""1"""
"1,""M"",""15"",""9.5"",""40000"",""22"",""1"""
"0,""Z"",""11"",""3"",""75000"",""29"",""0"""
"1,""Z"",""1"",""15.5"",""105000"",""15"",""4"""
"1,""Z"",""21"",""3"",""35000"",""39"",""5"""
"1,""M"",""10"",""12"",""80000"",""12"",""2"""
"1,""Z"",""1"",""25"",""120000"",""28"",""2"""
"1,""M"",""19"",""24"",""25000"",""18"",""2"""
"0,""Z"",""5"",""22"",""45000"",""30"",""0"""
"1,""M"",""13"",""23"",""25000"",""28"",""3"""
"1,""Z"",""3"",""2"",""235000"",""11"",""2"""
"1,""M"",""20"",""13.5"",""45000"",""5"",""1"""
"1,""M"",""1"",""10.5"",""5000"",""25"",""2"""
"1,""M"",""3"",""8.5"",""215000"",""25"",""1"""
"0,""Z"",""5"",""25"",""10000"",""18"",""0"""
"1,""Z"",""7"",""4.5"",""10000"",""17"",""1"""
"1,""Z"",""13"",""8.5"",""35000"",""19"",""1"""
"1,""M"",""19"",""1.5"",""10000"",""13"",""1"""
"1,""M"",""21"",""13"",""45000"",""11"",""1"""
"0,""Z"",""2"",""12.5"",""95000"",""5"",""0"""
"1,""Z"",""14"",""6"",""60000"",""9"",""1"""
"1,""M"",""11"",""22"",""25000"",""17"",""1"""
"1,""Z"",""6"",""10"",""85000"",""28"",""3"""
"1,""Z"",""12"",""8"",""85000"",""26"",""3"""
"0,""M"",""21"",""8.5"",""150000"",""14"",""0"""
"0,""Z"",""16"",""10"",""35000"",""15"",""0"""
"1,""Z"",""14"",""10"",""160000"",""12"",""1"""
"1,""M"",""1"",""15"",""20000"",""20"",""3"""
"1,""Z"",""12"",""22"",""75000"",""17"",""1"""
"1,""Z"",""8"",""8.5"",""120000"",""37"",""5"""
"1,""Z"",""19"",""3.5"",""65000"",""30"",""1"""
"1,""M"",""14"",""18"",""20000"",""25"",""1"""
"1,""Z"",""10"",""20.5"",""80000"",""18"",""1"""
"1,""M"",""8"",""15.5"",""40000"",""20"",""1"""
"1,""M"",""14"",""9"",""85000"",""12"",""2"""
"0,""M"",""19"",""2"",""15000"",""17"",""0"""
"0,""Z"",""1"",""8.5"",""225000"",""24"",""0"""
"1,""Z"",""13"",""13.5"",""80000"",""22"",""1"""
"1,""Z"",""18"",""11.5"",""1e+05"",""16"",""3"""
"1,""Z"",""3"",""5.5"",""80000"",""23"",""2"""
"1,""Z"",""9"",""23"",""150000"",""21"",""3"""
"1,""M"",""2"",""6"",""230000"",""9"",""1"""
"1,""M"",""20"",""20"",""160000"",""17"",""1"""
"1,""M"",""14"",""10.5"",""70000"",""23"",""1"""
"1,""M"",""1"",""19"",""55000"",""11"",""1"""
"1,""Z"",""21"",""8.5"",""125000"",""29"",""1"""
"1,""Z"",""10"",""15"",""60000"",""19"",""1"""
"1,""Z"",""6"",""18"",""25000"",""19"",""3"""
"0,""M"",""18"",""6.5"",""120000"",""27"",""0"""
"0,""Z"",""7"",""3.5"",""85000"",""14"",""0"""
"0,""M"",""11"",""16.5"",""15000"",""20"",""0"""
"1,""M"",""14"",""16.5"",""20000"",""16"",""1"""
"1,""Z"",""9"",""4.5"",""30000"",""21"",""1"""
"1,""Z"",""16"",""4"",""25000"",""16"",""2"""
"1,""Z"",""6"",""8"",""225000"",""30"",""1"""
"1,""M"",""13"",""20"",""25000"",""24"",""1"""
"1,""M"",""15"",""12"",""45000"",""11"",""1"""
"1,""M"",""8"",""17"",""25000"",""18"",""2"""
"1,""Z"",""11"",""15.5"",""60000"",""6"",""2"""
"1,""M"",""7"",""5.5"",""60000"",""20"",""2"""
"1,""M"",""6"",""27"",""35000"",""30"",""3"""
"1,""Z"",""11"",""15"",""20000"",""30"",""1"""
"1,""M"",""13"",""6"",""80000"",""27"",""3"""
"1,""Z"",""4"",""2.5"",""20000"",""24"",""2"""
"1,""Z"",""15"",""9.5"",""105000"",""11"",""1"""
"0,""M"",""16"",""9.5"",""30000"",""18"",""0"""
"1,""Z"",""3"",""14.5"",""60000"",""12"",""1"""
"1,""Z"",""8"",""4"",""65000"",""17"",""2"""
"1,""M"",""9"",""27"",""65000"",""12"",""1"""
"0,""Z"",""6"",""22"",""65000"",""9"",""0"""
"1,""M"",""19"",""22.5"",""40000"",""34"",""4"""
"1,""M"",""10"",""19"",""20000"",""28"",""1"""
"1,""M"",""13"",""27"",""120000"",""17"",""2"""
"1,""M"",""11"",""14.5"",""45000"",""24"",""2"""
"1,""M"",""1"",""26"",""250000"",""9"",""1"""
"0,""Z"",""2"",""9.5"",""65000"",""15"",""0"""
"1,""M"",""17"",""5"",""25000"",""18"",""1"""
"0,""Z"",""9"",""13"",""60000"",""6"",""0"""
"0,""Z"",""17"",""19"",""45000"",""26"",""0"""
"1,""M"",""17"",""12"",""45000"",""14"",""2"""
"1,""Z"",""11"",""7.5"",""1e+05"",""15"",""1"""
"1,""Z"",""16"",""11.5"",""40000"",""26"",""2"""
"0,""Z"",""2"",""27"",""35000"",""15"",""0"""
"1,""Z"",""13"",""8"",""65000"",""19"",""1"""
"1,""M"",""12"",""6"",""80000"",""20"",""3"""
"1,""M"",""1"",""16"",""230000"",""18"",""1"""
"1,""Z"",""12"",""3"",""80000"",""18"",""2"""
"1,""M"",""6"",""25"",""35000"",""11"",""1"""
"1,""M"",""12"",""15.5"",""20000"",""24"",""3"""
"1,""Z"",""17"",""9.5"",""45000"",""27"",""1"""
"1,""Z"",""17"",""11.5"",""35000"",""40"",""6"""
"0,""Z"",""19"",""3.5"",""60000"",""12"",""0"""
"1,""M"",""20"",""7"",""125000"",""14"",""2"""
"1,""Z"",""17"",""6.5"",""15000"",""30"",""2"""
"1,""Z"",""18"",""7.5"",""35000"",""17"",""3"""
"1,""M"",""19"",""4"",""115000"",""13"",""4"""
"1,""M"",""15"",""6.5"",""40000"",""15"",""1"""
"1,""M"",""16"",""9.5"",""15000"",""15"",""1"""
"1,""Z"",""14"",""5"",""120000"",""23"",""1"""
"1,""M"",""14"",""21"",""1e+05"",""27"",""1"""
"1,""M"",""18"",""19"",""25000"",""17"",""1"""
"1,""M"",""10"",""12.5"",""30000"",""21"",""1"""
"1,""M"",""20"",""9.5"",""120000"",""20"",""2"""
"1,""M"",""12"",""14"",""25000"",""29"",""2"""
"1,""M"",""1"",""23"",""220000"",""33"",""1"""
"1,""Z"",""6"",""16.5"",""80000"",""43"",""6"""
"1,""Z"",""17"",""5.5"",""60000"",""17"",""1"""
"1,""Z"",""7"",""7.5"",""80000"",""22"",""1"""
"1,""M"",""1"",""3.5"",""120000"",""28"",""2"""
"0,""M"",""16"",""12"",""80000"",""15"",""0"""
"1,""Z"",""2"",""27"",""40000"",""25"",""2"""
"1,""Z"",""11"",""16.5"",""60000"",""11"",""1"""
"1,""M"",""3"",""5"",""25000"",""29"",""3"""
"1,""Z"",""14"",""2.5"",""60000"",""22"",""1"""
"1,""Z"",""1"",""7"",""265000"",""19"",""2"""
"1,""Z"",""19"",""27"",""120000"",""16"",""1"""
"1,""M"",""3"",""3.5"",""20000"",""16"",""1"""
"1,""M"",""15"",""5.5"",""15000"",""20"",""1"""
"0,""Z"",""6"",""9.5"",""75000"",""28"",""0"""
"0,""Z"",""1"",""18.5"",""10000"",""9"",""0"""
"1,""Z"",""15"",""10"",""120000"",""12"",""2"""
"0,""M"",""14"",""25"",""40000"",""18"",""0"""
"0,""M"",""3"",""10"",""20000"",""11"",""0"""
"1,""Z"",""11"",""4.5"",""60000"",""20"",""3"""
"1,""M"",""3"",""14"",""65000"",""25"",""1"""
"1,""Z"",""5"",""14.5"",""60000"",""18"",""1"""
"1,""M"",""1"",""7.5"",""35000"",""23"",""1"""
"1,""M"",""16"",""5"",""60000"",""24"",""2"""
"1,""Z"",""1"",""16.5"",""40000"",""26"",""1"""
"1,""M"",""8"",""24"",""85000"",""23"",""1"""
"1,""M"",""12"",""14.5"",""40000"",""29"",""2"""
"1,""Z"",""20"",""14.5"",""60000"",""19"",""3"""
"1,""M"",""11"",""15.5"",""1e+05"",""7"",""0"""
"1,""Z"",""19"",""9.5"",""75000"",""24"",""1"""
"1,""Z"",""17"",""5"",""55000"",""29"",""1"""
"1,""M"",""8"",""1"",""10000"",""12"",""2"""
"1,""Z"",""12"",""21"",""65000"",""30"",""5"""
"0,""Z"",""19"",""14.5"",""35000"",""18"",""0"""
"1,""Z"",""1"",""13"",""20000"",""28"",""2"""
"1,""M"",""12"",""13"",""105000"",""13"",""1"""
"0,""M"",""4"",""10.5"",""115000"",""18"",""0"""
"1,""Z"",""18"",""27"",""80000"",""13"",""1"""
"1,""Z"",""11"",""27"",""270000"",""23"",""2"""
"1,""Z"",""16"",""27"",""70000"",""40"",""5"""
"1,""Z"",""16"",""14.5"",""80000"",""15"",""1"""
"0,""Z"",""6"",""6"",""15000"",""25"",""0"""
"1,""Z"",""19"",""23"",""95000"",""28"",""1"""
"1,""Z"",""3"",""12.5"",""80000"",""23"",""3"""
"1,""M"",""13"",""9"",""60000"",""18"",""1"""
"0,""M"",""17"",""13.5"",""30000"",""15"",""0"""
"1,""Z"",""21"",""15.5"",""125000"",""11"",""1"""
"1,""Z"",""18"",""7.5"",""85000"",""24"",""1"""
"1,""Z"",""12"",""8.5"",""45000"",""19"",""2"""
"1,""Z"",""19"",""15.5"",""20000"",""13"",""1"""
"1,""Z"",""4"",""2.5"",""5000"",""22"",""3"""
"0,""M"",""7"",""27"",""80000"",""26"",""0"""
"1,""M"",""11"",""14"",""125000"",""23"",""2"""
"1,""M"",""21"",""10.5"",""60000"",""26"",""2"""
"1,""M"",""3"",""18"",""10000"",""6"",""2"""
"1,""M"",""13"",""7.5"",""40000"",""22"",""1"""
"1,""Z"",""4"",""5"",""45000"",""10"",""1"""
"1,""M"",""21"",""25"",""95000"",""18"",""3"""
"1,""Z"",""13"",""5"",""40000"",""17"",""2"""
"0,""M"",""19"",""23"",""95000"",""26"",""0"""
"1,""Z"",""18"",""22"",""35000"",""23"",""3"""
"0,""Z"",""20"",""13"",""35000"",""31"",""0"""
"1,""M"",""9"",""14"",""230000"",""31"",""2"""
"1,""Z"",""13"",""18"",""20000"",""17"",""4"""
"1,""M"",""1"",""27"",""295000"",""20"",""0"""
"1,""Z"",""17"",""22"",""15000"",""35"",""1"""
"1,""M"",""1"",""14.5"",""65000"",""24"",""2"""
"1,""Z"",""21"",""16"",""120000"",""26"",""3"""
"1,""M"",""12"",""16"",""65000"",""33"",""2"""
"1,""M"",""11"",""5.5"",""30000"",""5"",""2"""
"1,""Z"",""11"",""7"",""20000"",""27"",""4"""
"1,""Z"",""19"",""17"",""35000"",""18"",""1"""
"1,""M"",""6"",""7"",""35000"",""21"",""0"""
"1,""Z"",""9"",""10"",""105000"",""25"",""1"""
"0,""M"",""5"",""12.5"",""120000"",""23"",""0"""
"1,""M"",""1"",""12"",""105000"",""12"",""0"""
"1,""M"",""18"",""8"",""65000"",""11"",""1"""
"1,""Z"",""15"",""4"",""25000"",""22"",""1"""
"1,""Z"",""21"",""8"",""65000"",""22"",""2"""
"1,""M"",""7"",""15"",""60000"",""15"",""2"""
"1,""Z"",""5"",""16"",""40000"",""22"",""3"""
"1,""Z"",""1"",""13"",""30000"",""21"",""1"""
"1,""M"",""6"",""16"",""15000"",""8"",""3"""
"1,""Z"",""18"",""23"",""80000"",""32"",""3"""
"1,""Z"",""8"",""2.5"",""45000"",""3"",""2"""
"1,""M"",""1"",""13"",""85000"",""4"",""2"""
"0,""Z"",""3"",""10"",""1e+05"",""16"",""0"""
"1,""Z"",""9"",""4.5"",""85000"",""15"",""2"""
"1,""M"",""20"",""6.5"",""75000"",""20"",""1"""
"1,""M"",""21"",""14"",""40000"",""24"",""2"""
"1,""M"",""13"",""5.5"",""15000"",""20"",""2"""
"1,""Z"",""8"",""17.5"",""40000"",""25"",""3"""
"1,""M"",""10"",""24"",""120000"",""30"",""3"""
"1,""M"",""8"",""6.5"",""65000"",""12"",""2"""
"1,""M"",""10"",""23"",""30000"",""22"",""2"""
"1,""M"",""17"",""13"",""40000"",""22"",""3"""
"1,""Z"",""3"",""18"",""25000"",""30"",""2"""
"0,""M"",""4"",""16.5"",""2e+05"",""21"",""0"""
"1,""M"",""20"",""25"",""30000"",""18"",""2"""
"1,""M"",""4"",""14"",""45000"",""20"",""1"""
"0,""Z"",""21"",""10.5"",""45000"",""12"",""0"""
"1,""Z"",""2"",""27"",""20000"",""19"",""1"""
"0,""Z"",""1"",""16.5"",""105000"",""20"",""0"""
"1,""M"",""2"",""8.5"",""20000"",""20"",""2"""
"1,""M"",""18"",""24"",""60000"",""17"",""1"""
"1,""M"",""15"",""5.5"",""75000"",""10"",""1"""
"1,""Z"",""1"",""13.5"",""70000"",""20"",""2"""
"1,""Z"",""10"",""15.5"",""30000"",""23"",""1"""
"1,""Z"",""3"",""9.5"",""80000"",""25"",""2"""
"1,""Z"",""2"",""3.5"",""150000"",""32"",""2"""
"0,""Z"",""17"",""6.5"",""25000"",""16"",""0"""
"0,""M"",""3"",""4.5"",""65000"",""14"",""0"""
"1,""M"",""4"",""11"",""40000"",""35"",""2"""
"1,""M"",""19"",""7.5"",""195000"",""18"",""2"""
"1,""Z"",""4"",""25"",""120000"",""14"",""0"""
"1,""M"",""8"",""22"",""20000"",""9"",""1"""
"1,""Z"",""18"",""16.5"",""95000"",""19"",""1"""
"1,""M"",""21"",""8.5"",""5000"",""15"",""1"""
"1,""M"",""7"",""9"",""60000"",""13"",""2"""
"1,""Z"",""16"",""2.5"",""75000"",""6"",""1"""
"1,""M"",""19"",""10"",""40000"",""28"",""2"""
"1,""Z"",""17"",""11"",""75000"",""27"",""4"""
"1,""Z"",""17"",""9"",""40000"",""19"",""2"""
"1,""Z"",""4"",""5"",""35000"",""37"",""5"""
"1,""Z"",""1"",""14.5"",""15000"",""18"",""2"""
"1,""Z"",""4"",""15.5"",""60000"",""13"",""1"""
"1,""Z"",""3"",""13.5"",""1e+05"",""11"",""1"""
"1,""Z"",""20"",""11.5"",""95000"",""20"",""3"""
"1,""Z"",""1"",""7.5"",""75000"",""12"",""1"""
"0,""Z"",""19"",""14.5"",""25000"",""9"",""0"""
"1,""Z"",""6"",""6"",""30000"",""10"",""4"""
"1,""M"",""19"",""16"",""10000"",""19"",""2"""
"1,""Z"",""5"",""12"",""80000"",""25"",""1"""
"1,""Z"",""13"",""7.5"",""285000"",""24"",""1"""
"1,""Z"",""19"",""8.5"",""20000"",""38"",""4"""
"1,""M"",""14"",""1"",""40000"",""30"",""2"""
"1,""Z"",""7"",""3.5"",""35000"",""23"",""2"""
"1,""Z"",""12"",""27"",""30000"",""22"",""1"""
"0,""Z"",""16"",""15.5"",""25000"",""16"",""0"""
"0,""Z"",""13"",""4.5"",""75000"",""27"",""0"""
"1,""M"",""18"",""11.5"",""20000"",""10"",""2"""
"1,""Z"",""1"",""8.5"",""220000"",""24"",""1"""
"1,""Z"",""9"",""6"",""1e+05"",""29"",""1"""
"1,""Z"",""17"",""18"",""85000"",""10"",""1"""
"1,""Z"",""2"",""12.5"",""85000"",""22"",""2"""
"1,""Z"",""6"",""7"",""60000"",""24"",""1"""
"1,""M"",""7"",""15"",""30000"",""25"",""2"""
"1,""Z"",""1"",""21"",""1e+05"",""22"",""4"""
"1,""Z"",""4"",""3.5"",""75000"",""31"",""6"""
"1,""M"",""3"",""10.5"",""85000"",""23"",""0"""
"0,""Z"",""1"",""5"",""240000"",""28"",""0"""
"1,""Z"",""7"",""29"",""30000"",""8"",""2"""
"1,""Z"",""2"",""12.5"",""120000"",""31"",""4"""
"1,""M"",""12"",""22.5"",""45000"",""18"",""2"""
"1,""Z"",""13"",""15"",""70000"",""16"",""2"""
"1,""Z"",""19"",""2.5"",""80000"",""8"",""2"""
"0,""Z"",""18"",""6"",""30000"",""21"",""0"""
"1,""M"",""3"",""4"",""65000"",""22"",""1"""
"0,""Z"",""21"",""7"",""125000"",""23"",""0"""
"1,""Z"",""1"",""19.5"",""60000"",""27"",""3"""
"0,""Z"",""15"",""21.5"",""80000"",""13"",""0"""
"0,""M"",""19"",""20"",""150000"",""13"",""0"""
"1,""Z"",""21"",""23"",""125000"",""25"",""1"""
"1,""Z"",""2"",""18.5"",""65000"",""23"",""1"""
"1,""Z"",""3"",""23.5"",""80000"",""7"",""2"""
"1,""M"",""20"",""10"",""80000"",""18"",""2"""
"1,""Z"",""7"",""5"",""35000"",""16"",""2"""
"1,""Z"",""14"",""19.5"",""95000"",""36"",""5"""
"0,""M"",""1"",""12"",""175000"",""9"",""0"""
"0,""M"",""12"",""24"",""1e+05"",""6"",""0"""
"0,""Z"",""21"",""16"",""30000"",""13"",""0"""
"1,""Z"",""19"",""7"",""145000"",""17"",""3"""
"1,""M"",""21"",""12"",""45000"",""20"",""3"""
"1,""Z"",""2"",""13"",""25000"",""19"",""1"""
"0,""M"",""7"",""22"",""75000"",""16"",""0"""
"1,""M"",""10"",""7"",""35000"",""32"",""5"""
"1,""M"",""16"",""13.5"",""25000"",""10"",""2"""
"1,""Z"",""1"",""19.5"",""120000"",""19"",""1"""
"0,""Z"",""21"",""22"",""55000"",""10"",""0"""
"1,""Z"",""3"",""9.5"",""55000"",""34"",""2"""
"1,""M"",""21"",""11.5"",""20000"",""18"",""1"""
"1,""M"",""3"",""10"",""85000"",""23"",""2"""
"1,""M"",""17"",""9"",""40000"",""24"",""2"""
"1,""M"",""15"",""9.5"",""65000"",""28"",""2"""
"0,""M"",""5"",""5"",""85000"",""27"",""0"""
"1,""Z"",""13"",""19.5"",""65000"",""10"",""1"""
"0,""Z"",""6"",""14.5"",""150000"",""25"",""0"""
"1,""Z"",""12"",""5"",""260000"",""19"",""2"""
"1,""Z"",""9"",""12"",""40000"",""22"",""2"""
"1,""M"",""20"",""25"",""85000"",""23"",""3"""
"1,""Z"",""8"",""8.5"",""60000"",""12"",""1"""
"1,""M"",""18"",""9"",""80000"",""18"",""1"""
"0,""Z"",""16"",""7"",""55000"",""24"",""0"""
"1,""Z"",""11"",""16.5"",""75000"",""30"",""3"""
"1,""Z"",""20"",""27"",""30000"",""31"",""3"""
"0,""Z"",""15"",""20.5"",""105000"",""20"",""0"""
"1,""M"",""17"",""7.5"",""30000"",""19"",""1"""
"1,""M"",""9"",""8"",""75000"",""20"",""1"""
"1,""M"",""3"",""12.5"",""120000"",""29"",""0"""
"1,""Z"",""6"",""21"",""30000"",""26"",""4"""
"0,""M"",""15"",""10"",""20000"",""30"",""0"""
"1,""M"",""1"",""2.5"",""120000"",""20"",""1"""
"1,""Z"",""15"",""18.5"",""60000"",""13"",""1"""
"1,""Z"",""15"",""4"",""40000"",""15"",""2"""
"1,""M"",""12"",""12.5"",""80000"",""23"",""3"""
"0,""Z"",""20"",""9"",""1e+05"",""29"",""0"""
"1,""Z"",""19"",""18"",""35000"",""16"",""1"""
"1,""M"",""20"",""13"",""85000"",""34"",""2"""
"1,""M"",""8"",""20"",""85000"",""25"",""2"""
"1,""Z"",""21"",""27"",""125000"",""20"",""2"""
"1,""Z"",""16"",""6.5"",""85000"",""18"",""3"""
"1,""Z"",""20"",""17.5"",""10000"",""9"",""1"""
"0,""Z"",""13"",""6.5"",""25000"",""11"",""0"""
"1,""Z"",""6"",""14.5"",""105000"",""19"",""2"""
"0,""M"",""20"",""9"",""45000"",""14"",""0"""
